;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
0.947368421	-77.05682672	-0.087777048	657.2516696
0.947368421	-76.24363799	-0.047380913	654.0957202
0.947368421	-73.0272997	0.055661864	648.3671045
0.947368421	-68.3070962	0.297697885	684.611822
0.947368421	-63.43982714	0.417410032	756.4787284
0.947368421	-55.58190648	0.529404082	861.164387
0.947368421	-48.04140166	0.614508502	962.3628779
0.947368421	-40.32412867	0.687387348	1052.725535
0.947368421	-30.44431171	0.764765201	1172.342954
0.947368421	-24.65536151	0.802154723	1237.817842
0.947368421	-17.32473911	0.864209016	1416.562397
0.947368421	-10.42439731	0.90370775	1579.631398
0.947368421	9.916846635	0.991071975	1690.481555
0.947368421	20.1153254	1.030472551	1535.232773
0.947368421	30.05953601	1.066766078	1495.996705
0.947368421	39.97786207	1.102559032	1467.97451
0.947368421	50.24877015	1.133655483	1424.163278
0.947368421	60.07514377	1.160711815	1390.903766
0.947368421	62.59608403	1.161864666	1365.997969
0.947368421	64.99131871	1.16410137	1335.568199
0.947368421	67.58904679	1.166446927	1309.137987
0.947368421	70.11213029	1.170238606	1285.525707
0.947368421	72.41169793	1.17163842	1257.848717
0.947368421	74.82554732	1.173988214	1227.897104
0.947368421	77.39346062	1.175133706	1196.818152
0.947368421	78.90465194	1.176298701	1178.224322
0.947368421	80.40312562	1.178828187	1165.874172
0.947368421	82.08362448	1.17968899	1146.436412
0.947368421	83.43439947	1.182811234	1134.504459
0.947368421	85.15749655	1.184180025	1113.315124
0.947368421	86.26844853	1.185808621	1101.34595
0.947368421	87.98442661	1.189021161	1083.245723
0.947368421	89.48464342	1.190654752	1068.406649
0.947368421	90.99087355	1.193221573	1053.803032
0.947368421	92.36139425	1.196570546	1040.815659
0.947368421	94.99677731	1.201565136	1018.169375
0.947368421	97.53743225	1.207253008	995.0988679
0.947368421	100.0341133	1.21250445	974.0474239
0.947368421	102.7184784	1.220178337	950.9085216
0.947368421	104.8996405	1.224729273	928.7786757
0.947368421	107.4219371	1.229496851	904.5463813
0.947368421	109.9675717	1.235934336	873.8673277
0.947368421	112.4877714	1.238271329	837.0345524
0.947368421	115.0677925	1.240798817	794.283479
0.947368421	117.6322083	1.239841316	745.2768896
0.947368421	120.2537611	1.236809714	685.7249282
0.947368421	122.7074741	1.232666534	629.9994042
0.947368421	124.8101858	1.205580304	497.2549097
0.947368421	127.1562656	1.143670584	266.4856374
0.947368421	130.0938723	1.058124757	4.57404074
0.947368421	131.7721359	0.930100749	-258.3478289
0.947368421	131.7013045	0.867283821	-357.75624
0.947368421	131.6141207	0.820374618	-422.332782
0.947368421	131.58313	0.769832203	-488.3045539
0.947368421	130.7797204	0.713889269	-551.4069787
0.947368421	128.8972079	0.580863362	-686.6991595
0.947368421	112.4382195	-0.015068896	-782.9472005
0.947368421	111.6965322	-0.047794494	-865.7669754
0.947368421	111.0983203	-0.082636871	-914.8599459
0.947368421	110.3763775	-0.128019639	-978.9082839
0.947368421	109.9606336	-0.150627308	-1013.259043
0.947368421	109.6070865	-0.174618558	-1051.484974
0.947368421	109.3800472	-0.207935725	-1117.131858
0.947368421	109.4439684	-0.225890686	-1158.915485
0.894736842	-103.5484178	-1.409966518	1505.593993
0.894736842	-101.9886224	-1.372299499	1465.019696
0.894736842	-97.48753575	-1.262165741	1359.057655
0.894736842	-94.19973524	-1.165160007	1282.521518
0.894736842	-91.51301103	-1.07792289	1216.752123
0.894736842	-89.09406336	-0.996903829	1159.000082
0.894736842	-87.05670115	-0.919373423	1100.656402
0.894736842	-85.18889834	-0.852788566	1047.593457
0.894736842	-83.47795406	-0.784923155	993.4048058
0.894736842	-82.04836465	-0.721939152	943.437372
0.894736842	-81.28258047	-0.664624075	903.4103108
0.894736842	-85.35463676	-0.651257542	962.8174829
0.894736842	-84.65197102	-0.594570905	926.6477434
0.894736842	-84.4104178	-0.544255498	905.9181786
0.894736842	-82.66715024	-0.484998955	860.4538655
0.894736842	-81.83469593	-0.430278478	819.5431027
0.894736842	-81.08405069	-0.379400951	785.6255758
0.894736842	-80.67150333	-0.329436772	757.2004618
0.894736842	-80.18151168	-0.285297635	739.2414947
0.894736842	-79.39958862	-0.233754193	713.4009366
0.894736842	-78.58589902	-0.181626989	686.5254641
0.894736842	-77.80433333	-0.135519224	666.6314123
0.894736842	-76.89414816	-0.089753837	652.9999496
0.894736842	-75.97548594	-0.043476652	651.71563
0.894736842	-72.96573264	0.054582767	646.1680259
0.894736842	-69.37875153	0.154243556	687.3536362
0.894736842	-67.99112178	0.299050537	687.7528572
0.894736842	-63.68191484	0.409210961	755.8524418
0.894736842	-57.4498157	0.501823352	835.6027721
0.894736842	-48.55294567	0.598469475	951.7764112
0.894736842	-37.63807334	0.705374796	1084.92967
0.894736842	-28.47884397	0.765642527	1203.320444
0.894736842	-22.76355112	0.802169564	1267.210144
0.894736842	-17.79771655	0.845967714	1411.752886
0.894736842	-10.17185514	0.887635383	1581.809222
0.894736842	9.724423176	0.972035583	1693.607027
0.894736842	19.98055729	1.008825234	1533.338092
0.894736842	30.06356063	1.043376587	1487.792683
0.894736842	40.26753062	1.079416491	1460.930826
0.894736842	49.98801718	1.104252398	1413.721901
0.894736842	60.31470714	1.135060088	1385.460901
0.894736842	62.62970919	1.134032025	1355.851577
0.894736842	64.84681269	1.136474101	1332.899696
0.894736842	67.56370596	1.137934799	1303.796786
0.894736842	69.82919079	1.140676921	1282.038544
0.894736842	72.6686998	1.142378163	1245.093724
0.894736842	74.99152784	1.143142402	1215.805713
0.894736842	77.50766999	1.143514425	1183.362931
0.894736842	78.92030231	1.144847335	1166.578133
0.894736842	80.66197108	1.148241585	1151.944673
0.894736842	81.96447193	1.149055958	1135.863264
0.894736842	83.54244991	1.149154342	1116.09564
